epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77392,3.46214,4.89266,2.92926,0.00111,0.33333,0.00316,0.00032,5.16645,7.81511,3.42556,0,0,0
2,1.94868,3.95469,5.0848,3.31155,0.00111,0.33333,0.00419,0.00042,5.0967,7.79325,3.36125,1.9802e-05,1.9802e-05,1.9802e-05
3,2.13017,3.1208,4.51189,2.74569,0.00111,0.33333,0.00515,0.00052,5.06813,7.00772,3.4315,3.9208e-05,3.9208e-05,3.9208e-05
4,2.2975,3.2304,4.98082,2.9101,0,0,0,0,5.00021,6.85131,3.32924,5.8218e-05,5.8218e-05,5.8218e-05
5,2.50696,3.07866,4.70522,2.86609,0.00222,0.66667,0.01178,0.00118,4.59394,6.21453,3.00237,7.6832e-05,7.6832e-05,7.6832e-05
6,2.73741,3.03225,4.15053,2.85087,0.00222,0.66667,0.00442,0.00044,4.32198,5.53596,2.73973,9.505e-05,9.505e-05,9.505e-05
7,2.96362,2.86415,4.51274,2.83889,0.00111,0.33333,0.02393,0.00239,4.12481,5.63417,2.67915,0.000112872,0.000112872,0.000112872
8,3.19805,3.2091,4.50762,2.875,0.00111,0.33333,0.00075,7e-05,4.18419,5.61992,2.69753,0.000130298,0.000130298,0.000130298
9,3.42448,3.35949,4.50571,2.97074,0.00222,0.66667,0.00162,0.00024,4.16096,5.86549,2.67298,0.000147328,0.000147328,0.000147328
10,3.64785,2.97855,4.11416,2.58187,0,0,0,0,4.71916,5.1872,2.74901,0.000163962,0.000163962,0.000163962
11,3.87523,2.66112,3.91379,2.45329,0,0,0,0,4.58923,6.36772,2.64171,0.0001802,0.0001802,0.0001802
12,4.1008,2.57109,3.98958,2.384,0.00111,0.33333,0.0007,7e-05,4.41742,6.97268,2.68626,0.000196042,0.000196042,0.000196042
13,4.32486,2.359,4.11114,2.30271,0.00111,0.33333,0.00077,8e-05,4.24152,7.12151,2.64308,0.000211488,0.000211488,0.000211488
14,4.55128,2.1618,3.74791,2.05382,0.00111,0.33333,0.00058,0.00017,4.01744,7.6096,2.56438,0.000226538,0.000226538,0.000226538
15,4.77684,2.46106,3.90068,2.34246,0.00111,0.33333,0.00065,0.00025,3.926,6.84667,2.48892,0.000241192,0.000241192,0.000241192
16,5.00712,2.23728,4.45457,2.27343,0.00222,0.66667,0.00237,0.00041,3.62455,5.91627,2.45317,0.00025545,0.00025545,0.00025545
17,5.24501,2.54732,4.38992,2.31355,0.00222,0.66667,0.00229,0.00023,3.94163,4.98869,2.4548,0.000269312,0.000269312,0.000269312
18,5.47253,2.52522,4.50144,2.3025,0.00222,0.66667,0.00229,0.00023,3.94163,4.98869,2.4548,0.000282778,0.000282778,0.000282778
19,5.69935,2.51854,4.22831,2.15902,0.00222,0.66667,0.00502,0.0005,3.70237,4.43504,2.46966,0.000295848,0.000295848,0.000295848
20,5.92086,2.20116,3.86139,2.13442,0.00222,0.66667,0.00502,0.0005,3.70237,4.43504,2.46966,0.000308522,0.000308522,0.000308522
21,6.1629,2.2412,3.76246,2.11779,0.00111,0.33333,0.00176,0.00018,3.38801,4.61471,2.36738,0.0003208,0.0003208,0.0003208
22,6.38261,2.47725,4.19509,2.29936,0.00111,0.33333,0.00176,0.00018,3.38801,4.61471,2.36738,0.000332682,0.000332682,0.000332682
23,6.60892,2.23149,3.88566,2.22752,0.00111,0.33333,0.00083,0.00013,3.13416,4.43284,2.35362,0.000344168,0.000344168,0.000344168
24,6.8458,2.23792,4.77645,2.02877,0.00111,0.33333,0.00083,0.00013,3.13416,4.43284,2.35362,0.000355258,0.000355258,0.000355258
25,7.07163,2.10911,3.84089,2.03357,0.00333,1,0.01756,0.00398,2.45005,4.08221,2.10914,0.000365952,0.000365952,0.000365952
